04/22 01:33:08 AM: Printing arguments : Namespace(seed=1234, batch_size=64, num_workers=4, lr=0.1, lr_divisor=5, num_epochs=25, encoder='bilstm', checkpoint=None)
04/22 01:33:08 AM: Setting seed...
04/22 01:33:08 AM: Building/Loading the SNLI dataset...
04/22 01:33:08 AM: Vocab already exists. Loading from disk...
04/22 01:33:17 AM: Total number of parameters: 56983859
04/22 01:33:17 AM: Training the model...
Adjusting learning rate of group 0 to 1.0000e-01.
  0%|          | 0/25 [00:00<?, ?it/s]04/22 01:33:17 AM: Epoch: 1/25
04/22 01:33:30 AM: Epoch: 1/25, Batch: 501/8584, Train Loss: 1.0217
04/22 01:33:42 AM: Epoch: 1/25, Batch: 1001/8584, Train Loss: 0.8792
04/22 01:33:54 AM: Epoch: 1/25, Batch: 1501/8584, Train Loss: 0.6809
04/22 01:34:06 AM: Epoch: 1/25, Batch: 2001/8584, Train Loss: 0.8709
04/22 01:34:18 AM: Epoch: 1/25, Batch: 2501/8584, Train Loss: 0.6977
04/22 01:34:30 AM: Epoch: 1/25, Batch: 3001/8584, Train Loss: 0.6291
04/22 01:34:42 AM: Epoch: 1/25, Batch: 3501/8584, Train Loss: 0.8831
04/22 01:34:54 AM: Epoch: 1/25, Batch: 4001/8584, Train Loss: 0.7823
04/22 01:35:06 AM: Epoch: 1/25, Batch: 4501/8584, Train Loss: 0.7617
04/22 01:35:18 AM: Epoch: 1/25, Batch: 5001/8584, Train Loss: 0.6827
04/22 01:35:30 AM: Epoch: 1/25, Batch: 5501/8584, Train Loss: 0.7533
04/22 01:35:42 AM: Epoch: 1/25, Batch: 6001/8584, Train Loss: 0.5722
04/22 01:35:54 AM: Epoch: 1/25, Batch: 6501/8584, Train Loss: 0.7541
04/22 01:36:06 AM: Epoch: 1/25, Batch: 7001/8584, Train Loss: 0.7838
04/22 01:36:18 AM: Epoch: 1/25, Batch: 7501/8584, Train Loss: 0.6199
04/22 01:36:31 AM: Epoch: 1/25, Batch: 8001/8584, Train Loss: 0.6689
04/22 01:36:43 AM: Epoch: 1/25, Batch: 8501/8584, Train Loss: 0.6532
04/22 01:36:45 AM: Epoch: 1/25, Train Loss: 0.7538
04/22 01:36:45 AM: Batch: 1/154, Loss: 0.7167, Acc: 68.7500
04/22 01:36:45 AM: Batch: 11/154, Loss: 0.6384, Acc: 70.3125
04/22 01:36:45 AM: Batch: 21/154, Loss: 0.8122, Acc: 62.5000
04/22 01:36:45 AM: Batch: 31/154, Loss: 0.5015, Acc: 82.8125
04/22 01:36:45 AM: Batch: 41/154, Loss: 0.5342, Acc: 82.8125
04/22 01:36:46 AM: Batch: 51/154, Loss: 0.8370, Acc: 60.9375
04/22 01:36:46 AM: Batch: 61/154, Loss: 0.6565, Acc: 70.3125
04/22 01:36:46 AM: Batch: 71/154, Loss: 0.7866, Acc: 65.6250
04/22 01:36:46 AM: Batch: 81/154, Loss: 0.6749, Acc: 73.4375
04/22 01:36:46 AM: Batch: 91/154, Loss: 0.7362, Acc: 68.7500
04/22 01:36:46 AM: Batch: 101/154, Loss: 0.6772, Acc: 65.6250
04/22 01:36:46 AM: Batch: 111/154, Loss: 0.5824, Acc: 76.5625
04/22 01:36:46 AM: Batch: 121/154, Loss: 0.7786, Acc: 65.6250
04/22 01:36:46 AM: Batch: 131/154, Loss: 0.7792, Acc: 64.0625
04/22 01:36:46 AM: Batch: 141/154, Loss: 0.6534, Acc: 70.3125
04/22 01:36:46 AM: Batch: 151/154, Loss: 0.6408, Acc: 71.8750
04/22 01:36:47 AM: Epoch: 1/25, Val Loss: 0.6822, Val Acc: 71.1441
04/22 01:36:47 AM: Best model found with val acc.: 71.1441
  4%|▍         | 1/25 [03:29<1:23:50, 209.59s/it]04/22 01:36:47 AM: Epoch: 2/25
Adjusting learning rate of group 0 to 9.9000e-02.
04/22 01:36:59 AM: Epoch: 2/25, Batch: 501/8584, Train Loss: 0.5779
04/22 01:37:11 AM: Epoch: 2/25, Batch: 1001/8584, Train Loss: 0.5806
04/22 01:37:23 AM: Epoch: 2/25, Batch: 1501/8584, Train Loss: 0.5275
04/22 01:37:35 AM: Epoch: 2/25, Batch: 2001/8584, Train Loss: 0.6841
04/22 01:37:47 AM: Epoch: 2/25, Batch: 2501/8584, Train Loss: 0.5372
04/22 01:37:59 AM: Epoch: 2/25, Batch: 3001/8584, Train Loss: 0.4963
04/22 01:38:11 AM: Epoch: 2/25, Batch: 3501/8584, Train Loss: 0.7321
04/22 01:38:24 AM: Epoch: 2/25, Batch: 4001/8584, Train Loss: 0.6648
04/22 01:38:36 AM: Epoch: 2/25, Batch: 4501/8584, Train Loss: 0.6793
04/22 01:38:48 AM: Epoch: 2/25, Batch: 5001/8584, Train Loss: 0.5500
04/22 01:39:00 AM: Epoch: 2/25, Batch: 5501/8584, Train Loss: 0.5760
04/22 01:39:12 AM: Epoch: 2/25, Batch: 6001/8584, Train Loss: 0.4833
04/22 01:39:24 AM: Epoch: 2/25, Batch: 6501/8584, Train Loss: 0.7259
04/22 01:39:36 AM: Epoch: 2/25, Batch: 7001/8584, Train Loss: 0.7020
04/22 01:39:48 AM: Epoch: 2/25, Batch: 7501/8584, Train Loss: 0.5557
04/22 01:40:00 AM: Epoch: 2/25, Batch: 8001/8584, Train Loss: 0.5889
04/22 01:40:12 AM: Epoch: 2/25, Batch: 8501/8584, Train Loss: 0.5628
04/22 01:40:14 AM: Epoch: 2/25, Train Loss: 0.6117
04/22 01:40:15 AM: Batch: 1/154, Loss: 0.5870, Acc: 76.5625
04/22 01:40:15 AM: Batch: 11/154, Loss: 0.5482, Acc: 79.6875
04/22 01:40:15 AM: Batch: 21/154, Loss: 0.7397, Acc: 68.7500
04/22 01:40:15 AM: Batch: 31/154, Loss: 0.4550, Acc: 85.9375
04/22 01:40:15 AM: Batch: 41/154, Loss: 0.5775, Acc: 79.6875
04/22 01:40:15 AM: Batch: 51/154, Loss: 0.6628, Acc: 67.1875
04/22 01:40:15 AM: Batch: 61/154, Loss: 0.5549, Acc: 73.4375
04/22 01:40:15 AM: Batch: 71/154, Loss: 0.7666, Acc: 67.1875
04/22 01:40:15 AM: Batch: 81/154, Loss: 0.6107, Acc: 76.5625
04/22 01:40:15 AM: Batch: 91/154, Loss: 0.6849, Acc: 70.3125
04/22 01:40:16 AM: Batch: 101/154, Loss: 0.5779, Acc: 73.4375
04/22 01:40:16 AM: Batch: 111/154, Loss: 0.5219, Acc: 81.2500
04/22 01:40:16 AM: Batch: 121/154, Loss: 0.6435, Acc: 70.3125
04/22 01:40:16 AM: Batch: 131/154, Loss: 0.6742, Acc: 76.5625
04/22 01:40:16 AM: Batch: 141/154, Loss: 0.5836, Acc: 71.8750
04/22 01:40:16 AM: Batch: 151/154, Loss: 0.6615, Acc: 73.4375
04/22 01:40:16 AM: Epoch: 2/25, Val Loss: 0.6094, Val Acc: 74.8019
04/22 01:40:16 AM: Best model found with val acc.: 74.8019
  8%|▊         | 2/25 [06:59<1:20:19, 209.55s/it]04/22 01:40:16 AM: Epoch: 3/25
Adjusting learning rate of group 0 to 9.8010e-02.
04/22 01:40:29 AM: Epoch: 3/25, Batch: 501/8584, Train Loss: 0.5158
04/22 01:40:41 AM: Epoch: 3/25, Batch: 1001/8584, Train Loss: 0.5116
04/22 01:40:53 AM: Epoch: 3/25, Batch: 1501/8584, Train Loss: 0.3760
04/22 01:41:05 AM: Epoch: 3/25, Batch: 2001/8584, Train Loss: 0.5308
04/22 01:41:17 AM: Epoch: 3/25, Batch: 2501/8584, Train Loss: 0.4697
04/22 01:41:29 AM: Epoch: 3/25, Batch: 3001/8584, Train Loss: 0.3842
04/22 01:41:41 AM: Epoch: 3/25, Batch: 3501/8584, Train Loss: 0.6996
04/22 01:41:53 AM: Epoch: 3/25, Batch: 4001/8584, Train Loss: 0.6645
04/22 01:42:05 AM: Epoch: 3/25, Batch: 4501/8584, Train Loss: 0.6255
04/22 01:42:17 AM: Epoch: 3/25, Batch: 5001/8584, Train Loss: 0.5041
04/22 01:42:29 AM: Epoch: 3/25, Batch: 5501/8584, Train Loss: 0.4894
04/22 01:42:41 AM: Epoch: 3/25, Batch: 6001/8584, Train Loss: 0.4361
04/22 01:42:53 AM: Epoch: 3/25, Batch: 6501/8584, Train Loss: 0.6808
04/22 01:43:05 AM: Epoch: 3/25, Batch: 7001/8584, Train Loss: 0.5741
04/22 01:43:17 AM: Epoch: 3/25, Batch: 7501/8584, Train Loss: 0.5099
04/22 01:43:29 AM: Epoch: 3/25, Batch: 8001/8584, Train Loss: 0.5422
04/22 01:43:42 AM: Epoch: 3/25, Batch: 8501/8584, Train Loss: 0.5000
04/22 01:43:44 AM: Epoch: 3/25, Train Loss: 0.5544
04/22 01:43:44 AM: Batch: 1/154, Loss: 0.5551, Acc: 78.1250
