04/22 01:33:08 AM: Printing arguments : Namespace(seed=1234, batch_size=64, num_workers=4, lr=0.1, lr_divisor=5, num_epochs=25, encoder='bilstm-max', checkpoint=None)
04/22 01:33:08 AM: Setting seed...
04/22 01:33:08 AM: Building/Loading the SNLI dataset...
04/22 01:33:08 AM: Vocab already exists. Loading from disk...
04/22 01:33:18 AM: Total number of parameters: 56983859
04/22 01:33:18 AM: Training the model...
Adjusting learning rate of group 0 to 1.0000e-01.
  0%|          | 0/25 [00:00<?, ?it/s]04/22 01:33:18 AM: Epoch: 1/25
04/22 01:33:32 AM: Epoch: 1/25, Batch: 501/8584, Train Loss: 0.8911
04/22 01:33:45 AM: Epoch: 1/25, Batch: 1001/8584, Train Loss: 0.7287
04/22 01:33:59 AM: Epoch: 1/25, Batch: 1501/8584, Train Loss: 0.5375
04/22 01:34:12 AM: Epoch: 1/25, Batch: 2001/8584, Train Loss: 0.6357
04/22 01:34:25 AM: Epoch: 1/25, Batch: 2501/8584, Train Loss: 0.5126
04/22 01:34:39 AM: Epoch: 1/25, Batch: 3001/8584, Train Loss: 0.4758
04/22 01:34:52 AM: Epoch: 1/25, Batch: 3501/8584, Train Loss: 0.6893
04/22 01:35:06 AM: Epoch: 1/25, Batch: 4001/8584, Train Loss: 0.5913
04/22 01:35:19 AM: Epoch: 1/25, Batch: 4501/8584, Train Loss: 0.6532
04/22 01:35:33 AM: Epoch: 1/25, Batch: 5001/8584, Train Loss: 0.5049
04/22 01:35:46 AM: Epoch: 1/25, Batch: 5501/8584, Train Loss: 0.4473
04/22 01:36:00 AM: Epoch: 1/25, Batch: 6001/8584, Train Loss: 0.4583
04/22 01:36:13 AM: Epoch: 1/25, Batch: 6501/8584, Train Loss: 0.6815
04/22 01:36:27 AM: Epoch: 1/25, Batch: 7001/8584, Train Loss: 0.6000
04/22 01:36:40 AM: Epoch: 1/25, Batch: 7501/8584, Train Loss: 0.4535
04/22 01:36:54 AM: Epoch: 1/25, Batch: 8001/8584, Train Loss: 0.5399
04/22 01:37:07 AM: Epoch: 1/25, Batch: 8501/8584, Train Loss: 0.5153
04/22 01:37:09 AM: Epoch: 1/25, Train Loss: 0.6161
04/22 01:37:10 AM: Batch: 1/154, Loss: 0.4609, Acc: 84.3750
04/22 01:37:10 AM: Batch: 11/154, Loss: 0.5134, Acc: 78.1250
04/22 01:37:10 AM: Batch: 21/154, Loss: 0.4691, Acc: 82.8125
04/22 01:37:10 AM: Batch: 31/154, Loss: 0.3543, Acc: 87.5000
04/22 01:37:10 AM: Batch: 41/154, Loss: 0.5550, Acc: 79.6875
04/22 01:37:10 AM: Batch: 51/154, Loss: 0.4317, Acc: 79.6875
04/22 01:37:10 AM: Batch: 61/154, Loss: 0.5082, Acc: 78.1250
04/22 01:37:10 AM: Batch: 71/154, Loss: 0.6389, Acc: 68.7500
04/22 01:37:10 AM: Batch: 81/154, Loss: 0.6381, Acc: 73.4375
04/22 01:37:11 AM: Batch: 91/154, Loss: 0.5261, Acc: 84.3750
04/22 01:37:11 AM: Batch: 101/154, Loss: 0.4986, Acc: 79.6875
04/22 01:37:11 AM: Batch: 111/154, Loss: 0.3830, Acc: 85.9375
04/22 01:37:11 AM: Batch: 121/154, Loss: 0.4591, Acc: 84.3750
