04/22 01:33:08 AM: Printing arguments : Namespace(seed=1234, batch_size=64, num_workers=4, lr=0.1, lr_divisor=5, num_epochs=25, encoder='unilstm', checkpoint=None)
04/22 01:33:08 AM: Setting seed...
04/22 01:33:08 AM: Building/Loading the SNLI dataset...
04/22 01:33:08 AM: Vocab already exists. Loading from disk...
04/22 01:33:17 AM: Total number of parameters: 33538355
04/22 01:33:17 AM: Training the model...
Adjusting learning rate of group 0 to 1.0000e-01.
  0%|          | 0/25 [00:00<?, ?it/s]04/22 01:33:17 AM: Epoch: 1/25
04/22 01:33:25 AM: Epoch: 1/25, Batch: 501/8584, Train Loss: 1.0644
04/22 01:33:32 AM: Epoch: 1/25, Batch: 1001/8584, Train Loss: 0.9132
04/22 01:33:39 AM: Epoch: 1/25, Batch: 1501/8584, Train Loss: 0.7492
04/22 01:33:46 AM: Epoch: 1/25, Batch: 2001/8584, Train Loss: 0.9501
04/22 01:33:53 AM: Epoch: 1/25, Batch: 2501/8584, Train Loss: 0.7753
04/22 01:34:00 AM: Epoch: 1/25, Batch: 3001/8584, Train Loss: 0.7089
04/22 01:34:07 AM: Epoch: 1/25, Batch: 3501/8584, Train Loss: 0.9191
04/22 01:34:14 AM: Epoch: 1/25, Batch: 4001/8584, Train Loss: 0.8303
04/22 01:34:21 AM: Epoch: 1/25, Batch: 4501/8584, Train Loss: 0.8597
04/22 01:34:28 AM: Epoch: 1/25, Batch: 5001/8584, Train Loss: 0.7570
04/22 01:34:35 AM: Epoch: 1/25, Batch: 5501/8584, Train Loss: 0.7431
04/22 01:34:42 AM: Epoch: 1/25, Batch: 6001/8584, Train Loss: 0.5947
04/22 01:34:49 AM: Epoch: 1/25, Batch: 6501/8584, Train Loss: 0.8039
04/22 01:34:56 AM: Epoch: 1/25, Batch: 7001/8584, Train Loss: 0.8313
04/22 01:35:03 AM: Epoch: 1/25, Batch: 7501/8584, Train Loss: 0.6595
04/22 01:35:10 AM: Epoch: 1/25, Batch: 8001/8584, Train Loss: 0.6791
04/22 01:35:17 AM: Epoch: 1/25, Batch: 8501/8584, Train Loss: 0.7104
04/22 01:35:18 AM: Epoch: 1/25, Train Loss: 0.7911
04/22 01:35:18 AM: Batch: 1/154, Loss: 0.6501, Acc: 67.1875
04/22 01:35:18 AM: Batch: 11/154, Loss: 0.6622, Acc: 68.7500
04/22 01:35:18 AM: Batch: 21/154, Loss: 0.8495, Acc: 59.3750
04/22 01:35:19 AM: Batch: 31/154, Loss: 0.5043, Acc: 81.2500
04/22 01:35:19 AM: Batch: 41/154, Loss: 0.5844, Acc: 78.1250
04/22 01:35:19 AM: Batch: 51/154, Loss: 0.8284, Acc: 67.1875
04/22 01:35:19 AM: Batch: 61/154, Loss: 0.6935, Acc: 73.4375
04/22 01:35:19 AM: Batch: 71/154, Loss: 0.7895, Acc: 64.0625
04/22 01:35:19 AM: Batch: 81/154, Loss: 0.6874, Acc: 75.0000
04/22 01:35:19 AM: Batch: 91/154, Loss: 0.7468, Acc: 75.0000
04/22 01:35:19 AM: Batch: 101/154, Loss: 0.7095, Acc: 62.5000
04/22 01:35:19 AM: Batch: 111/154, Loss: 0.5928, Acc: 78.1250
04/22 01:35:19 AM: Batch: 121/154, Loss: 0.7420, Acc: 68.7500
04/22 01:35:19 AM: Batch: 131/154, Loss: 0.6864, Acc: 75.0000
04/22 01:35:19 AM: Batch: 141/154, Loss: 0.6834, Acc: 73.4375
04/22 01:35:19 AM: Batch: 151/154, Loss: 0.7426, Acc: 67.1875
04/22 01:35:19 AM: Epoch: 1/25, Val Loss: 0.6778, Val Acc: 71.9163
04/22 01:35:19 AM: Best model found with val acc.: 71.9163
  4%|▍         | 1/25 [02:02<48:55, 122.32s/it]04/22 01:35:20 AM: Epoch: 2/25
Adjusting learning rate of group 0 to 9.9000e-02.
04/22 01:35:27 AM: Epoch: 2/25, Batch: 501/8584, Train Loss: 0.6603
04/22 01:35:34 AM: Epoch: 2/25, Batch: 1001/8584, Train Loss: 0.6366
04/22 01:35:41 AM: Epoch: 2/25, Batch: 1501/8584, Train Loss: 0.5586
04/22 01:35:48 AM: Epoch: 2/25, Batch: 2001/8584, Train Loss: 0.7367
04/22 01:35:55 AM: Epoch: 2/25, Batch: 2501/8584, Train Loss: 0.5031
04/22 01:36:02 AM: Epoch: 2/25, Batch: 3001/8584, Train Loss: 0.5646
04/22 01:36:09 AM: Epoch: 2/25, Batch: 3501/8584, Train Loss: 0.8514
04/22 01:36:16 AM: Epoch: 2/25, Batch: 4001/8584, Train Loss: 0.6864
04/22 01:36:23 AM: Epoch: 2/25, Batch: 4501/8584, Train Loss: 0.7552
04/22 01:36:30 AM: Epoch: 2/25, Batch: 5001/8584, Train Loss: 0.5756
04/22 01:36:37 AM: Epoch: 2/25, Batch: 5501/8584, Train Loss: 0.5168
04/22 01:36:44 AM: Epoch: 2/25, Batch: 6001/8584, Train Loss: 0.4779
04/22 01:36:51 AM: Epoch: 2/25, Batch: 6501/8584, Train Loss: 0.7524
04/22 01:36:58 AM: Epoch: 2/25, Batch: 7001/8584, Train Loss: 0.6670
04/22 01:37:05 AM: Epoch: 2/25, Batch: 7501/8584, Train Loss: 0.5476
04/22 01:37:12 AM: Epoch: 2/25, Batch: 8001/8584, Train Loss: 0.5633
04/22 01:37:19 AM: Epoch: 2/25, Batch: 8501/8584, Train Loss: 0.6292
04/22 01:37:20 AM: Epoch: 2/25, Train Loss: 0.6362
04/22 01:37:20 AM: Batch: 1/154, Loss: 0.5185, Acc: 82.8125
04/22 01:37:20 AM: Batch: 11/154, Loss: 0.5778, Acc: 71.8750
04/22 01:37:20 AM: Batch: 21/154, Loss: 0.7168, Acc: 64.0625
04/22 01:37:21 AM: Batch: 31/154, Loss: 0.4747, Acc: 78.1250
04/22 01:37:21 AM: Batch: 41/154, Loss: 0.5382, Acc: 82.8125
04/22 01:37:21 AM: Batch: 51/154, Loss: 0.6150, Acc: 75.0000
04/22 01:37:21 AM: Batch: 61/154, Loss: 0.6056, Acc: 78.1250
04/22 01:37:21 AM: Batch: 71/154, Loss: 0.7454, Acc: 67.1875
04/22 01:37:21 AM: Batch: 81/154, Loss: 0.5900, Acc: 78.1250
04/22 01:37:21 AM: Batch: 91/154, Loss: 0.6924, Acc: 71.8750
