04/20 08:35:11 PM: Printing arguments : Namespace(seed=42, batch_size=64, num_workers=4, lr=0.1, lr_divisor=5, num_epochs=40, encoder='bilstm-max', checkpoint=None)
04/20 08:35:11 PM: Setting seed...
04/20 08:35:11 PM: Building/Loading the SNLI dataset...
04/20 08:35:11 PM: Vocab already exists. Loading from disk...
04/20 08:35:20 PM: Total number of parameters: 56983859
04/20 08:35:20 PM: Training the model...
Adjusting learning rate of group 0 to 1.0000e-01.
  0%|          | 0/40 [00:00<?, ?it/s]04/20 08:35:20 PM: Epoch: 1/40
04/20 08:35:34 PM: Epoch: 1/40, Batch: 501/8584, Train Loss: 0.9009
04/20 08:35:48 PM: Epoch: 1/40, Batch: 1001/8584, Train Loss: 0.7360
04/20 08:36:01 PM: Epoch: 1/40, Batch: 1501/8584, Train Loss: 0.5235
04/20 08:36:15 PM: Epoch: 1/40, Batch: 2001/8584, Train Loss: 0.6291
04/20 08:36:28 PM: Epoch: 1/40, Batch: 2501/8584, Train Loss: 0.5168
04/20 08:36:42 PM: Epoch: 1/40, Batch: 3001/8584, Train Loss: 0.5018
04/20 08:36:55 PM: Epoch: 1/40, Batch: 3501/8584, Train Loss: 0.7121
04/20 08:37:09 PM: Epoch: 1/40, Batch: 4001/8584, Train Loss: 0.5798
04/20 08:37:22 PM: Epoch: 1/40, Batch: 4501/8584, Train Loss: 0.6887
04/20 08:37:36 PM: Epoch: 1/40, Batch: 5001/8584, Train Loss: 0.5257
04/20 08:37:49 PM: Epoch: 1/40, Batch: 5501/8584, Train Loss: 0.4832
04/20 08:38:03 PM: Epoch: 1/40, Batch: 6001/8584, Train Loss: 0.4758
04/20 08:38:16 PM: Epoch: 1/40, Batch: 6501/8584, Train Loss: 0.6908
04/20 08:38:30 PM: Epoch: 1/40, Batch: 7001/8584, Train Loss: 0.6302
04/20 08:38:43 PM: Epoch: 1/40, Batch: 7501/8584, Train Loss: 0.5098
04/20 08:38:57 PM: Epoch: 1/40, Batch: 8001/8584, Train Loss: 0.5190
04/20 08:39:11 PM: Epoch: 1/40, Batch: 8501/8584, Train Loss: 0.5101
04/20 08:39:13 PM: Epoch: 1/40, Train Loss: 0.6175
04/20 08:39:13 PM: Batch: 1/154, Loss: 0.4462, Acc: 85.9375
04/20 08:39:13 PM: Batch: 11/154, Loss: 0.4813, Acc: 78.1250
04/20 08:39:13 PM: Batch: 21/154, Loss: 0.4531, Acc: 82.8125
04/20 08:39:13 PM: Batch: 31/154, Loss: 0.3860, Acc: 89.0625
04/20 08:39:14 PM: Batch: 41/154, Loss: 0.5298, Acc: 76.5625
04/20 08:39:14 PM: Batch: 51/154, Loss: 0.4387, Acc: 82.8125
04/20 08:39:14 PM: Batch: 61/154, Loss: 0.4872, Acc: 78.1250
04/20 08:39:14 PM: Batch: 71/154, Loss: 0.6376, Acc: 68.7500
04/20 08:39:14 PM: Batch: 81/154, Loss: 0.6645, Acc: 68.7500
04/20 08:39:14 PM: Batch: 91/154, Loss: 0.4842, Acc: 82.8125
04/20 08:39:14 PM: Batch: 101/154, Loss: 0.4877, Acc: 81.2500
04/20 08:39:14 PM: Batch: 111/154, Loss: 0.3511, Acc: 87.5000
04/20 08:39:14 PM: Batch: 121/154, Loss: 0.4820, Acc: 79.6875
04/20 08:39:14 PM: Batch: 131/154, Loss: 0.5059, Acc: 84.3750
04/20 08:39:15 PM: Batch: 141/154, Loss: 0.4564, Acc: 81.2500
04/20 08:39:15 PM: Batch: 151/154, Loss: 0.5091, Acc: 81.2500
04/20 08:39:15 PM: Epoch: 1/40, Val Loss: 0.4816, Val Acc: 81.5383
04/20 08:39:15 PM: Best model found with val acc.: 81.5383
  2%|▎         | 1/40 [03:54<2:32:28, 234.57s/it]04/20 08:39:15 PM: Epoch: 2/40
Adjusting learning rate of group 0 to 9.9000e-02.
04/20 08:39:29 PM: Epoch: 2/40, Batch: 501/8584, Train Loss: 0.4861
04/20 08:39:42 PM: Epoch: 2/40, Batch: 1001/8584, Train Loss: 0.4534
04/20 08:39:55 PM: Epoch: 2/40, Batch: 1501/8584, Train Loss: 0.3470
04/20 08:40:09 PM: Epoch: 2/40, Batch: 2001/8584, Train Loss: 0.3939
04/20 08:40:22 PM: Epoch: 2/40, Batch: 2501/8584, Train Loss: 0.3981
04/20 08:40:36 PM: Epoch: 2/40, Batch: 3001/8584, Train Loss: 0.3458
04/20 08:40:49 PM: Epoch: 2/40, Batch: 3501/8584, Train Loss: 0.5902
04/20 08:41:03 PM: Epoch: 2/40, Batch: 4001/8584, Train Loss: 0.5444
04/20 08:41:17 PM: Epoch: 2/40, Batch: 4501/8584, Train Loss: 0.5657
04/20 08:41:30 PM: Epoch: 2/40, Batch: 5001/8584, Train Loss: 0.4971
04/20 08:41:44 PM: Epoch: 2/40, Batch: 5501/8584, Train Loss: 0.3509
04/20 08:41:57 PM: Epoch: 2/40, Batch: 6001/8584, Train Loss: 0.4044
04/20 08:42:11 PM: Epoch: 2/40, Batch: 6501/8584, Train Loss: 0.5872
04/20 08:42:24 PM: Epoch: 2/40, Batch: 7001/8584, Train Loss: 0.4920
04/20 08:42:38 PM: Epoch: 2/40, Batch: 7501/8584, Train Loss: 0.3823
04/20 08:42:51 PM: Epoch: 2/40, Batch: 8001/8584, Train Loss: 0.5029
04/20 08:43:05 PM: Epoch: 2/40, Batch: 8501/8584, Train Loss: 0.4572
04/20 08:43:07 PM: Epoch: 2/40, Train Loss: 0.4824
04/20 08:43:07 PM: Batch: 1/154, Loss: 0.4086, Acc: 87.5000
